"","X","Y","NE_ID","LONGITUDE","LATITUDE","geometry","lon_diff","lat_diff"
"6200",78.059842,27.8941568,1159149179,78.061788,27.892211,c(78.0598420227718, 27.8941567747565),1,1
"6201",77.6980553,29.0023579,1159149181,77.700001,29.000412,c(77.6980553202964, 29.0023578652559),1,1
"6202",86.4180399,23.8023394,1159149183,86.419986,23.800393,c(86.4180398580916, 23.8023393512376),1,1
"6203",78.1781294,26.2319327,1159149185,78.180075,26.229987,c(78.1781293762879, 26.2319326536562),1,1
"6204",73.1780728,22.3119652,1159149187,73.180019,22.310019,c(73.178072817023, 22.311965205724),1,1
"6205",70.7980631,22.3119652,1159149189,70.800009,22.310019,c(70.7980630513885, 22.311965205724),1,1
"6219",-110.8919321,32.2069426,1159149221,-110.889986,32.204997,c(-110.891932066526, 32.2069426227557),1,1
"6230",-94.6060401,39.1090344,1159149245,-94.604094,39.107089,c(-94.6060400775458, 39.1090343683975),1,1
"6237",-97.7447242,30.2688955,1159149261,-97.742778,30.26695,c(-97.7447242214212, 30.2688955442974),1,1
"6239",-106.511941,31.7819298,1159149265,-106.509995,31.779984,c(-106.511941018331, 31.7819298053712),1,1
"6245",-81.3819762,28.5119227,1159149279,-81.38003,28.509977,c(-81.3819762151708, 28.5119226845899),1,1
"6246",-81.6719327,30.3319666,1159149281,-81.669987,30.330021,c(-81.6719326767605, 30.3319666299097),1,1
"6249",-86.1719939,39.7519343,1159149289,-86.170048,39.749988,c(-86.1719939153852, 39.7519342813145),1,1
"6252",-77.4519319,37.5519652,1159149295,-77.449986,37.550019,c(-77.4519318629416, 37.5519652057848),1,1
"6254",-76.6219308,39.3019359,1159149299,-76.619985,39.29999,c(-76.6219308456855, 39.3019359089167),1,1
"6262",44.0374743,13.6063984,1159149317,44.03942,13.604453,c(44.0374742654743, 13.606398392538),1,1
"6265",30.7080553,46.4919622,1159149325,30.710001,46.490016,c(30.7080553201083, 46.4919621540628),1,1
"6267",34.9980777,48.4819182,1159149329,35.000024,48.479972,c(34.9980776996828, 48.4819182087583),1,1
"6268",37.8280342,48.0019475,1159149331,37.82998,48.000002,c(37.8280341612826, 48.0019475056314),1,1
"6269",36.2480789,50.0019288,1159149333,36.250025,49.999983,c(36.248078920391, 50.0019287881913),1,1
"6276",106.6781469,20.8319522,1159149349,106.680093,20.830006,c(106.678146873147, 20.8319521848845),1,1
"6283",9.7080451,4.0623556,1159149365,9.709991,4.06041,c(9.7080451474983, 4.06235562720019),1,1
"6284",-1.9219426,52.4769198,1159149367,-1.919997,52.474974,c(-1.92194264551705, 52.4769198363784),1,1
"6286",27.1498482,38.4380955,1159149371,27.151794,38.43615,c(27.1498481518493, 38.4380955409497),1,1
"6287",29.0680521,40.2019327,1159149373,29.069998,40.199987,c(29.0680520648935, 40.2019326537123),1,1
"6289",32.4730639,37.8769583,1159149379,32.47501,37.875012,c(32.4730638650373, 37.8769582884684),1,1
"6290",35.3180582,36.9969345,1159149381,35.320004,36.994989,c(35.3180581684341, 36.9969344847541),1,1
"6292",30.0585859,-1.9516442,1159149385,30.060532,-1.95359,c(30.0585859190641, -1.95164421006325),1,1
"6306",-71.5319573,-16.418048,1159149417,-71.530011,-16.419994,c(-71.5319572942329, -16.418048018715),1,1
"6318",39.5780565,24.5019349,1159149443,39.580002,24.499989,c(39.578056540847, 24.5019348916052),1,1
"6330",67.023048,30.2219475,1159149471,67.024994,30.220002,c(67.0230479960348, 30.2219475055602),1,1
"6363",39.7107099,47.2365937,1159149545,39.712656,47.234648,c(39.7107099425402, 47.2365937051726),1,1
"6368",39.2680496,51.7319266,1159149557,39.269995,51.729981,c(39.268049623528, 51.7319265502427),1,1
"6370",61.4367223,55.1569371,1159149561,61.438668,55.154991,c(61.4367223124189, 55.1569371296833),1,1
"6376",46.0280504,51.5819357,1159149575,46.029996,51.57999,c(46.0280504373573, 51.5819357055155),1,1
"6378",73.3980077,54.9919343,1159149579,73.399954,54.989988,c(73.3980077128572, 54.9919342813753),1,1
"6385",127.4230822,36.3374915,1159149595,127.425028,36.335546,c(127.423082175964, 36.3374915322773),1,1
"6386",126.9084883,35.1729115,1159149597,126.910434,35.170966,c(126.908488263201, 35.1729114541478),1,1
"6387",129.0081017,35.0969988,1159149599,129.010048,35.095053,c(129.00810170722, 35.0969987751109),1,1
"6388",122.0780854,6.9219227,1159149601,122.080031,6.919977,c(122.078085431151, 6.92192268450333),1,1
"6414",-115.481962,32.6519284,1159149659,-115.480016,32.649983,c(-115.481961973771, 32.6519283812211),1,1
"6416",-103.4219487,25.5719988,1159149665,-103.420003,25.570053,c(-103.421948749439, 25.5719987750729),1,1
"6417",-107.3819138,24.8319406,1159149667,-107.379968,24.829995,c(-107.381913755965, 24.8319405882209),1,1
"6421",-101.0019414,22.1719221,1159149675,-100.999996,22.169976,c(-101.00194142521, 22.1719220742128),1,1
"6427",-101.7019762,21.1519327,1159149689,-101.70003,21.149987,c(-101.701976215252, 21.1519326536359),1,1
"6428",13.1580671,11.851906,1159149691,13.160013,11.84996,c(13.1580671201683, 11.8519060015806),1,1
"6429",7.0080549,4.8119481,1159149693,7.010001,4.810002,c(7.00805491311246, 4.81194811581025),1,1
"6431",3.9280362,7.3819721,1159149697,3.929982,7.380026,c(3.92803619565223, 7.38197212298184),1,1
"6432",4.2380431,8.1319522,1159149701,4.239989,8.130006,c(4.23804311297124, 8.13195218483366),1,1
"6434",7.4380545,10.5219613,1159149705,7.44,10.520015,c(7.43805450621312, 10.5219613401167),1,1
"6436",19.9580655,50.0619251,1159149709,19.960011,50.059979,c(19.9580654925913, 50.0619251260823),1,1
"6465",105.9180382,34.6019644,1159149775,105.919984,34.600019,c(105.918038230565, 34.601964391971),1,1
"6468",110.1480643,22.6319198,1159149781,110.15001,22.629974,c(110.148064272249, 22.631919836259),1,1
"6471",104.8313862,26.5963807,1159149787,104.833332,26.594435,c(104.831386212332, 26.5963806923947),1,1
"6472",118.5780407,24.9019622,1159149791,118.579987,24.900016,c(118.578040672022, 24.9019621539765),1,1
